OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,Ref_ID,X,Y,User_fld,Addr_type,ARC_Street,ARC_City,ARC_State,ARC_ZIP,Name,Municipali,Address,Municipa_1,ZipCodes
1,DW_Addressing_,M,95.42,A,"1710 PACIFIC AVE, HARRISON, PA, 15065", ,3150892,1420542.434568,475246.110473,0,StreetAddress,1710 Pacific Avenue,Natrona Heights, ,15065,Community Market,Natrona Heights,1710 Pacific Avenue,Natrona Heights,15065
2,DW_Addressing_,M,93.91,A,"1117 MILLTOWN RD, PENN HILLS, PA, 15147", ,3148048,1401019.429449,431068.460889,0,StreetAddress,1117 Mill Town Road,Verona, ,15147,Community Market,Verona,1117 Mill Town Road,Verona,15147
3,DW_Addressing_,M,100,A,"1017 4TH AVE, CORAOPOLIS, PA, 15108", ,3083227,1297767.802053,440835.299188,0,StreetAddress,1017 4th Avenue,Coraopolis, ,15108,Coraopolis Cash Market,Coraopolis,1017 4th Avenue,Coraopolis,15108
4,DW_Addressing_,M,100,A,"5055 LIBRARY RD, BETHEL PARK, PA, 15102", ,2693039,1334758.100618,374326.901636,0,StreetAddress,5055 Library Road,Bethel Park, ,15102,Giant Eagle,Bethel Park,5055 Library Road,Bethel Park,15102
5,DW_Addressing_,M,100,A,"254 YOST BLVD, BRADDOCK HILLS, PA, 15221", ,2805222,1382335.999685,400839.100961,0,StreetAddress,254 Yost Boulevard,Braddock Hills, ,15221,Giant Eagle,Braddock Hills,254 Yost Boulevard,Pittsburgh,15221
6,DW_Addressing_,M,100,A,"600 TOWNE SQUARE WAY, BRENTWOOD, PA, 15227", ,3161264,1346223.897289,383925.260241,0,StreetAddress,600 Towne Square Way,Brentwood, ,15227,Giant Eagle,Brentwood,600 Towne Square Way,Pittsburgh,15227
7,DW_Addressing_,M,95.31,A,"132 BEN AVON HEIGHTS RD, OHIO, PA, 15237", ,2654758,1323833.900492,441351.299762,0,StreetAddress,132 Ben Avon Heights Road,Camp Horne, ,15237,Giant Eagle,Camp Horne,132 Ben Avon Heights Road,Pittsburgh,15237
8,DW_Addressing_,M,96.97,A,"5260 GROVE RD, WHITEHALL, PA, 15236", ,2665562,1340889.999357,381056.501822,0,StreetAddress,5260 Grove Road,Caste Village, ,15236,Giant Eagle,Caste Village,5260 Grove Road,Pittsburgh,15236
9,DW_Addressing_,M,94.82,A,"9901 MOUNTAIN VIEW DR, WEST MIFFLIN, PA, 15122", ,3029807,1355362.699365,374227.100263,0,StreetAddress,9901 Mountain View Drive,Century III, ,15122,Giant Eagle,Century III,9901 Mountain View Drive,West Mifflin,15122
10, ,U,0,A, , ,-1,0,0, , ,Crafton-Ingram Shopping Center,Crafton, ,15205,Giant Eagle,Crafton,Crafton-Ingram Shopping Center,Pittsburgh,15205
11,DW_Addressing_,M,96.38,A,"6320 SHAKESPEARE ST, PITTSBURGH, PA, 15206", ,2827562,1364508.598192,417369.597899,0,StreetAddress,6320 Shakespeare Street,East Liberty, ,15206,Giant Eagle,East Liberty,6320 Shakespeare Street,Pittsburgh,15206
12,DW_Addressing_,M,100,A,"1705 S BRADDOCK AVE, EDGEWOOD, PA, 15218",L,80632,1373035.349876,405180.520368,0,Address,1705 S. Braddock Avenue,Edgewood, ,15218,Giant Eagle,Edgewood,1705 S. Braddock Avenue,Pittsburgh,15218
