dbn,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,ontrack_year1_2014,graduation_rate_2014,college_career_rate_2014,ontrack_year1_boro,graduation_rate_boro,college_career_rate_boro,pct_stu_enough_variety_2014,pct_stu_safe_2014,quality_review_year,qr_curriculum,qr_instruction,qr_assessing_student_learning,qr_high_expectations,qr_teacher_collaboration
01M292,62%,58%,32%,63%,43%,41%,85%,70%,53%,77%,76%,2013-2014, P, D, P, P, P
01M448,83%,78%,55%,90%,80%,52%,85%,70%,53%,75%,90%,2012-2013, P, P, P, P, P
01M450,92%,76%,58%,88%,82%,69%,85%,70%,53%,89%,92%,,,,,,
01M509,59%,36%,38%,59%,48%,26%,85%,70%,53%,28%,71%,2013-2014, D, D, D, D, P
01M539,99%,98%,84%,97%,95%,89%,85%,70%,53%,75%,87%,2010-2011,WD, P, P,WD, D
01M696,96%,98%,94%,98%,100%,93%,85%,70%,53%,90%,98%,2013-2014,WD,WD, P,WD,WD
02M047,98%,71%,42%,90%,69%,62%,85%,70%,53%,50%,90%,2013-2014, P, P, P, P, P
02M135,N/A,N/A,N/A,84%,N/A,N/A,85%,70%,53%,78%,81%,,,,,,
02M139,N/A,N/A,N/A,89%,N/A,N/A,85%,70%,53%,81%,84%,,,,,,
02M260,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,85%,88%,2011-2012, P, P, P, P, P
02M280,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,N/A,N/A,,,,,,
02M282,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,N/A,N/A,,,,,,
02M288,89%,84%,53%,92%,77%,49%,85%,70%,53%,65%,83%,,,,,,
02M294,90%,65%,49%,88%,71%,40%,85%,70%,53%,88%,96%,2013-2014,WD, P,WD,WD, P
02M296,82%,66%,52%,74%,73%,47%,85%,70%,53%,77%,88%,,,,,,
02M298,94%,89%,69%,89%,94%,68%,85%,70%,53%,83%,93%,,,,,,
02M300,73%,55%,55%,79%,65%,43%,85%,70%,53%,66%,82%,2013-2014, P, P, P, P, P
02M303,78%,62%,52%,83%,72%,49%,85%,70%,53%,78%,87%,2011-2012, P, P, P,WD, P
02M305,83%,83%,60%,90%,87%,69%,85%,70%,53%,66%,80%,2012-2013, P, P, P, P, P
02M308,67%,75%,52%,74%,72%,61%,85%,70%,53%,82%,84%,,,,,,
02M316,77%,75%,48%,71%,77%,62%,85%,70%,53%,64%,91%,2011-2012, P, P, D, P, P
02M374,82%,77%,50%,79%,74%,54%,85%,70%,53%,52%,73%,2012-2013, D, D, D, D, D
02M376,98%,94%,86%,97%,96%,78%,85%,70%,53%,89%,96%,2013-2014,WD, P,WD,WD,WD
02M392,83%,86%,N/A,87%,84%,64%,85%,70%,53%,68%,84%,2011-2012,WD, P, P,WD,WD
02M393,72%,72%,N/A,71%,66%,48%,85%,70%,53%,77%,86%,2011-2012, P, P, D, P, P
02M399,77%,67%,N/A,82%,56%,51%,85%,70%,53%,55%,81%,2013-2014, P, P, P, P, P
02M400,85%,83%,64%,80%,84%,70%,85%,70%,53%,83%,83%,2013-2014, P, P, P, P, P
02M407,100%,94%,58%,100%,90%,84%,85%,70%,53%,84%,95%,2012-2013,WD,WD,WD,WD,WD
02M408,93%,96%,66%,89%,94%,66%,85%,70%,53%,58%,89%,2013-2014, P, P, P, P, P
02M411,100%,99%,96%,98%,100%,97%,85%,70%,53%,76%,92%,,,,,,
02M412,95%,95%,73%,98%,96%,79%,85%,70%,53%,81%,94%,,,,,,
02M413,95%,85%,77%,99%,91%,78%,85%,70%,53%,75%,88%,2010-2011,WD,WD,WD,WD, P
02M414,99%,98%,91%,98%,97%,81%,85%,70%,53%,32%,93%,,,,,,
02M416,100%,100%,97%,99%,100%,89%,85%,70%,53%,94%,98%,,,,,,
02M418,100%,99%,86%,99%,99%,88%,85%,70%,53%,69%,97%,,,,,,
02M419,80%,50%,41%,80%,66%,35%,85%,70%,53%,74%,84%,2012-2013, P, D, P, P, P
02M420,89%,86%,77%,92%,90%,76%,85%,70%,53%,78%,87%,2013-2014, P, P, P, P,WD
02M422,84%,N/A,N/A,88%,N/A,N/A,85%,70%,53%,70%,78%,2011-2012, P, P, D, P, P
02M425,75%,68%,43%,82%,64%,41%,85%,70%,53%,71%,81%,2013-2014, P, P, P,WD, P
02M427,61%,N/A,N/A,60%,49%,N/A,85%,70%,53%,81%,80%,2012-2013, D, D, D, D, P
02M432,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,77%,90%,2012-2013, P, D, D, P, P
02M437,74%,N/A,N/A,78%,91%,N/A,85%,70%,53%,74%,86%,2012-2013, D, D, D, P, P
02M438,81%,N/A,N/A,81%,36%,N/A,85%,70%,53%,85%,85%,2012-2013, P, P, P, P, P
02M439,100%,97%,83%,100%,99%,85%,85%,70%,53%,34%,88%,,,,,,
02M449,68%,75%,59%,80%,75%,47%,85%,70%,53%,82%,90%,2011-2012, P, P, P, P, P
02M459,81%,56%,55%,95%,71%,52%,85%,70%,53%,90%,96%,2011-2012, P, P, P, P, P
02M475,99%,98%,99%,99%,99%,97%,85%,70%,53%,92%,95%,,,,,,
02M489,83%,75%,77%,88%,82%,70%,85%,70%,53%,77%,88%,2013-2014,WD, P, P, P, P
02M500,80%,68%,40%,78%,68%,28%,85%,70%,53%,90%,95%,2011-2012, D, D, P, P, P
02M507,83%,N/A,N/A,85%,N/A,N/A,85%,70%,53%,84%,85%,2013-2014,WD, P,WD,WD,WD
02M519,97%,96%,81%,94%,95%,76%,85%,70%,53%,62%,91%,2012-2013,WD, P,WD,WD, P
02M520,56%,51%,43%,52%,51%,36%,85%,70%,53%,62%,63%,2013-2014, D, D, D, P, D
02M529,67%,66%,43%,81%,61%,45%,85%,70%,53%,62%,90%,2013-2014, D, D, D, P, P
02M531,100%,96%,61%,100%,98%,71%,85%,70%,53%,53%,84%,,,,,,
02M533,89%,N/A,N/A,91%,N/A,N/A,85%,70%,53%,54%,64%,,,,,,
02M534,100%,N/A,N/A,92%,N/A,N/A,85%,70%,53%,76%,76%,,,,,,
02M542,98%,82%,70%,92%,85%,58%,85%,70%,53%,92%,96%,,,,,,
02M543,73%,85%,58%,74%,82%,47%,85%,70%,53%,69%,90%,,,,,,
02M545,98%,98%,88%,100%,96%,83%,85%,70%,53%,52%,92%,,,,,,
02M546,97%,N/A,N/A,90%,N/A,N/A,85%,70%,53%,73%,91%,,,,,,
02M551,90%,71%,71%,82%,76%,51%,85%,70%,53%,60%,84%,2013-2014, P, D, P, P, D
02M580,71%,72%,55%,64%,71%,59%,85%,70%,53%,55%,76%,2010-2011, P, P, D, P, P
02M600,91%,91%,66%,90%,92%,68%,85%,70%,53%,84%,85%,,,,,,
02M605,N/A,N/A,N/A,N/A,N/A,N/A,85%,70%,53%,94%,95%,2010-2011, P,WD,WD, P,WD
02M615,83%,80%,41%,75%,85%,56%,85%,70%,53%,70%,86%,2011-2012, P, P, P, P, P
02M630,81%,84%,82%,82%,81%,62%,85%,70%,53%,77%,78%,2010-2011, P, P, P, P, P
02M655,82%,64%,40%,74%,76%,43%,85%,70%,53%,79%,69%,2013-2014, P, P, D, P, D
03M299,74%,75%,40%,77%,72%,44%,85%,70%,53%,72%,81%,2013-2014, P, P, P, P, D
03M307,77%,61%,40%,75%,67%,41%,85%,70%,53%,67%,87%,2013-2014, P, D, P, P, P
03M402,70%,40%,N/A,88%,49%,29%,85%,70%,53%,65%,82%,2013-2014, P, P, P, P, P
03M403,82%,53%,N/A,65%,75%,40%,85%,70%,53%,N/A,N/A,2013-2014, D, D, D, P, P
03M415,57%,44%,31%,52%,50%,23%,85%,70%,53%,63%,76%,2013-2014, D, D, D, P, P
03M417,85%,N/A,N/A,91%,95%,N/A,85%,70%,53%,64%,80%,2012-2013, P, P, D, P,WD
03M479,97%,99%,84%,95%,99%,84%,85%,70%,53%,89%,96%,,,,,,
03M485,99%,98%,86%,98%,99%,80%,85%,70%,53%,82%,92%,,,,,,
03M492,76%,74%,41%,70%,72%,48%,85%,70%,53%,73%,79%,2011-2012,WD,WD,WD,WD,WD
03M494,77%,64%,51%,81%,61%,39%,85%,70%,53%,50%,72%,2013-2014, D, D, D, D, D
03M541,94%,91%,89%,97%,98%,89%,85%,70%,53%,70%,92%,2011-2012, P, P, P,WD, P
